,RHY,RHR,RHP,RKN,RAP,RAR,LHY,LHR,LHP,LKN,LAP,LAR,RSP,RSR,RSY,REB,RWY,RWR,RWP,LSP,LSR,LSY,LEB,LWY,LWR,LWP,NKY,NK1,NK2,WST,RF1,RF2,RF3,RF4,RF5,LF1,LF2,LF3,LF4,LF5
,,,-0.529300,+0.296100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.531400,+0.297800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.533500,+0.299500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.535600,+0.301200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.537700,+0.302900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.539800,+0.304600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.541900,+0.306300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.544000,+0.308000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.546100,+0.309700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.548200,+0.311400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.550300,+0.313100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.552400,+0.314800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.554500,+0.316500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.556600,+0.318200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.558700,+0.319900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.560800,+0.321600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.562900,+0.323300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.565000,+0.325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.567100,+0.326700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.569200,+0.328400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.571300,+0.330100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.573400,+0.331800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.575500,+0.333500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
